Ticker,Alpha,MKT,SMB,HML,R2,Adj_R2
POWERGRID.NS,0.0003648323062147934,0.5876142881554512,0.4508418015635153,0.6754134938298625,0.28421626049170634,0.2824718647008656
HINDUNILVR.NS,-0.0004305493750486711,0.7645336257726174,0.15137924978321127,-0.6577498098215568,0.31586630414615924,0.3141990408743789
TATAMOTORS.NS,0.0006704759165353775,1.3143569844245497,1.0386864604962085,0.6952914159353338,0.41121659870754257,0.4097817082088606
NESTLEIND.NS,-0.0001251076342057562,0.7234127620413229,0.5254810099548266,-0.5129632742110386,0.3100963738631737,0.30841504902287264
SUNPHARMA.NS,0.0005150752364652877,0.7204468009783133,0.5550356095594862,-0.03972924622771094,0.20518386782634745,0.20324686669188685
INDUSINDBK.NS,-0.00038814078883337024,1.133170801637636,0.5369758867658816,0.8285402817077474,0.3475630102885674,0.3459729932543396
COALINDIA.NS,0.00023019063915136434,0.7079497618019418,0.6860188132338304,1.0027018773760066,0.4136784381157812,0.41224954722573026
M&M.NS,0.0006340854980985275,1.1363726020545302,0.030584244847975242,0.07335840317501764,0.3279004282460477,0.32626249265282115
ICICIBANK.NS,0.00029342223758528705,1.0016801185325652,-0.6022779611921733,0.17292823686468461,0.5285388043223976,0.5273898330900395
DIVISLAB.NS,0.00044099399135558414,0.9699529746456473,1.3005586778839056,-0.33295151535337475,0.2814986349705164,0.2797476162092747
AXISBANK.NS,-9.372460253592899e-06,0.9307748969600759,-0.48372903262302863,0.44158428383750414,0.46288881112314795,0.4615798480308404
EICHERMOT.NS,0.0001823341075817798,1.0568379698594734,0.5272273080079607,-0.008488534306702373,0.29659341987962873,0.2948791877591078
BEL.NS,0.001349978553345576,1.0063203455867333,-0.19854187132401127,0.23453696961965373,0.23968188687923675,0.23782895890250044
WIPRO.NS,3.620667967831951e-05,1.2387542313124926,0.7012232013692976,-0.43113016761782386,0.3585060994486331,0.3569427511938369
TATASTEEL.NS,0.0005212766656825156,1.1764645857251117,1.684681484664971,1.0293643217639206,0.5736257387330632,0.572586646301056
ADANIPORTS.NS,0.00011721821611902033,1.2944967571047357,-0.850856292018197,0.28050541985087196,0.3584202108860034,0.35685665331708216
BAJAJFINSV.NS,9.996262965004435e-05,1.220611445382133,-0.3023723984075271,-0.021099522211054322,0.39764692120852985,0.39617896082154813
TATACONSUM.NS,0.00021124906843004982,0.9975606465336356,0.6775132908440022,-0.30771630894032376,0.2949447853058069,0.2932265353918486
TCS.NS,-0.0002302876138509195,0.9996489590359557,0.1692483460228872,-0.5765092073176961,0.39014642624013385,0.3886601868239846
HEROMOTOCO.NS,-0.00023994491563980616,0.9360216250464213,0.722785401232723,-0.01912281199466711,0.2668950028077287,0.2651083943661553
DRREDDY.NS,7.179118252520681e-06,0.6577915666375301,0.895755447571987,-0.16889372845600936,0.19515825239836504,0.19319681840745928
ITC.NS,-3.699795040478138e-05,0.7238011484057872,-0.13220948739171806,-0.13039110483210742,0.22936557347213682,0.22748750419546448
ULTRACEMCO.NS,0.0002511660585811182,0.9993792106380521,0.12316840352218578,-0.03304857673736534,0.3456809907196592,0.3440863871227128
NTPC.NS,0.0003828738719808509,0.6369230122774701,-0.042437286311758915,0.7565728164326629,0.3735191144638661,0.3719923535730387
BAJAJ-AUTO.NS,0.0002911928932116925,0.8120740677275176,0.6548898169361006,0.00920495088376978,0.22267177752921952,0.2207773951836367
LTIM.NS,0.00016054913003525395,1.2672474129477886,0.9557183924823909,-0.5489958334815139,0.2745578589049914,0.27278992517364686
ASIANPAINT.NS,-0.0002812012570638734,0.9544963430870098,0.4984978711556671,-0.5490468775376478,0.3091887665790405,0.3075052298607115
APOLLOHOSP.NS,0.0008356878133569529,1.0274690903224448,1.021865583146474,-0.42315337669575803,0.24424446223092444,0.24240265344675926
BHARTIARTL.NS,0.00037995387789761884,0.8618008322261103,-0.13706620755624202,-0.13887170180532257,0.250852884541794,0.24902718076732222
SBILIFE.NS,6.183184123833191e-05,0.942439076280479,0.40966776702812085,-0.2565957629710358,0.27726952439867836,0.27550819911289115
BAJFINANCE.NS,3.3828245668218436e-05,1.2424583349869667,-0.47427336898454425,-0.008288826140484214,0.4101097666253264,0.40867217872920614
HINDALCO.NS,0.0005265720804889965,1.1848302418144128,1.759770658853581,1.008504538202543,0.5166900058028492,0.5155121585383557
CIPLA.NS,0.0003590339317806808,0.6019791461207759,0.9121804807267001,-0.17436672749819943,0.15640838212866726,0.15435251303556075
UPL.NS,-0.00029641360603121125,0.9641170938851014,1.1209593460881664,0.4380215628188373,0.3170237183159986,0.315359275712382
ADANIENT.NS,0.001135944474954528,1.4307189228545054,-1.3125133745695117,0.17039347809610705,0.25675265208591325,0.2549413262989576
HCLTECH.NS,0.0002516891475299461,1.1212737634805272,0.2259183019163121,-0.6203668892584281,0.34589881391128174,0.3443047411588315
KOTAKBANK.NS,-0.00034321979638116866,0.8875532115466351,-0.4088488935604549,0.12033663088828246,0.3704172474037576,0.36888292712935566
INFY.NS,-8.021782198129167e-05,1.210963534864727,0.09406781878003759,-0.7107341723506271,0.4312429175065854,0.42985683200903846
RELIANCE.NS,-0.00026436098398100805,1.0260004396570648,-0.07438228692694239,0.16213798215548098,0.4454416283290714,0.44409014570111627
SBIN.NS,0.0003413212995103393,0.949652309331795,-0.6074187624998225,0.6540239598161672,0.5762053112013914,0.5751725052985515
LT.NS,0.0003497953298880047,1.0627856658006112,-0.018535261736851355,0.1460113052149216,0.43365862986816706,0.4322784315656524
BRITANNIA.NS,-3.0293174268727788e-05,0.6778836791401044,0.4085012451790125,-0.513906894289224,0.24016649258219558,0.23831474561042187
JSWSTEEL.NS,0.0006466437355973643,1.1535957286674683,1.2884212496482426,0.6258912999310963,0.4745263182871856,0.47324571630088297
GRASIM.NS,0.0005651884004157416,1.0275670937186063,0.6506258260402237,0.26685922216817687,0.40508600613294177,0.4036361751162064
MARUTI.NS,-6.902255605775414e-05,0.8596352121595843,0.04603467837885707,-0.05311142327804032,0.26107840366080226,0.2592776199166774
TECHM.NS,0.00020974224404412804,1.2506993114217269,0.661419003880488,-0.4674014414331909,0.3487913735961137,0.3472043501361529
ONGC.NS,0.00021740309119981232,0.5379528418415147,-0.11053768976705756,1.08612669960825,0.3569158577517455,0.35534863400946703
HDFCBANK.NS,-0.00026037987176507173,0.9811631907727543,-0.35064997997747366,0.11549504458154379,0.5048549704438221,0.503648280688608
TITAN.NS,0.0003914970449431509,1.0093192961034816,0.07701985279587921,-0.32679279103972875,0.2884289737502398,0.2866948445229861
HDFCLIFE.NS,-0.0003135951478121356,1.0029741543463095,0.47632515433045514,-0.3124763885898681,0.2836437545099465,0.2818979634973793
